ID,Name
8195,SM 43:1;O4
8203,PIP3 42:10
8228,DG 41:6;O
8240,PS O-41:0
8245,PI 57:2;O
8275,HexCer 43:5;O2
8283,SM 40:1;O5
8287,PI 60:2
8299,PA O-45:2
8305,SM 45:2;O3
8312,PIP3 45:11
8335,MG 21:2
8337,ST 25:2;O4;F
8356,PIP3 45:12
8368,SM 43:1;O3
8377,PIP3 43:10
8384,PC 34:1
8386,PE O-42:4
8424,PA O-45:4
8450,HexCer 45:4;O4
8451,HexCer 45:3;O4
8452,Hex(3)-HexNAc-Cer 42:2;O2
8486,SM 35:0;O4
8488,PG O-39:1
8510,PC 34:1
8517,DG O-37:2
8574,MG O-34:1
8592,CerP 44:2;O2
8593,PC O-37:4
8602,PA O-42:0
8628,PA O-45:0;O
8640,Hex(3)-Cer 42:2;O2
8651,PC 35:0
8654,SM 40:0;O3
8668,PG O-39:0;O
8671,PC O-40:5
8679,Hex(3)-Cer 40:1;O2
8685,HexCer 45:6;O3
8689,PK 32:12;O23;S
8703,PA O-44:1
8731,PG O-43:1
8848,SM 42:2;O3
8862,PI-Cer 49:2;O4
8883,PI 44:0
9049,Cer 41:3;O2
9074,DG O-36:3
9309,DG O-40:5
9341,PC 34:1
9409,PC 36:2
9410,HexCer 43:5;O2
9512,SM 44:1;O3
9724,PG O-43:0
9739,SHexCer 43:2;O2
9757,SM 43:5;O4
9790,PG O-41:1
9814,NAT 32:1;O4
9815,PE dO-34:0
9835,HexCer 42:0;O3
9915,PG O-41:0;O
9949,Hex2Cer 50:2;O2
9976,PA O-44:0
9987,SM 44:0;O3
10013,SHexCer 42:1;O2
10085,Hex2Cer 41:5;O3
10115,SM 50:4;O4
10144,DG O-40:4
10150,Hex2Cer 51:2;O2
10165,PG 38:2;O
10181,DG 42:1
10190,DG O-40:4
10196,Cer 44:1;O4
10230,TG 47:1;O
10257,DG 40:3
10292,Cer 51:4;O
10294,Cer 52:4;O
10314,Cer 49:3;O
10319,PG 36:2
10322,SHexCer 37:0;O2
10323,TG 52:6
10348,DG 38:1
10359,PG 36:1
10363,PA O-47:1
10364,PC 40:1
10365,PC 42:2
10368,PC O-44:3
10378,PK 40:8;O26
10394,PC 44:4
10396,SHexCer 43:1;O2
10397,PC 44:2
10399,PI O-57:6
10405,TG O-96:13
10415,MG 21:1
10421,PK 35:12;O23
10460,TG O-56:14
10464,HexCer 49:3;O4
10467,PC 61:11;O
10468,TG 77:9;O
10474,M(IP)2C 35:6;O4
10475,TG 76:11;O3
10481,CoA 34:7;O2
10489,TG 50:8;O2
10503,PC O-34:2
10517,PA O-47:3
10518,PC O-45:5
10526,PIP3 47:9
10542,Cer 45:1;O3
10548,HexCer 38:6;O3
10552,PI-Cer 53:0;O6
10571,PC O-41:1
10576,PC 59:11
10590,SM 44:2;O2
10594,PC 49:5
10595,TG 56:5;O2
10600,Cer 38:2;O3
10618,HexCer 47:5;O3
10621,PI 50:3;O
10638,Cer 53:4;O
10650,HexCer 36:6;O2
10659,PC O-48:7
10661,SHexCer 54:5;O3
10679,TG 54:8;O
10681,PI-Cer 53:6;O3
10696,PA O-46:0
10752,TG 40:2
10784,PI-Cer 51:6;O2
10790,DG 36:3
10792,PR 45:6;O
10826,Cer 50:3;O
10828,Cer 51:3;O
10835,PI O-46:4
10851,SHexCer 50:4;O2
10852,TG 61:12;O
10868,TG 50:5;O
10887,SM 50:6;O6
10893,Cer 39:1;O4
10920,SM 34:1;O5
10954,DG O-40:3
10956,DG 42:0
10989,PC 40:0
11017,SM 54:3;O4
11024,DG O-42:7
11031,TG 44:4
11034,PA O-47:0
11041,PR 35:0;O4
11059,Cer 52:3;O
11064,TG 52:5;O
11082,DG 42:3
11085,Cer 44:0;O3
11112,PC 49:3
11137,DG 44:4
11140,CerP 40:2;O5
11153,Cer 44:2;O2
11166,PC 44:2
11193,DG 44:7;O
11315,WE 41:1
11322,ACer 49:6;O2
11395,TG 58:4;O
11420,TG O-56:6
11497,DG 42:6
11500,CE 20:3
11532,TG 46:2;O
11542,SM 52:3;O3
11564,Cer 42:0;O
11577,TG O-52:1
11630,Cer 44:1;O2
11632,Cer 45:6;O2
11654,TG 46:4
11667,DG 44:3
11713,TG 55:4;O3
11774,PC O-50:6
11778,Cer 43:0;O
11779,CE 19:4;O
11794,TG 51:1;O3
11812,TG 48:5
11835,TG 58:3;O
11847,Cer 44:0;O2
11852,HexCer 42:1;O2
11868,PA O-51:0;O
11873,TG 57:3;O
11932,Cer 34:0;O
11933,WE 36:2
11968,TG 49:5;O2
12015,DG 45:3
12105,Cer 52:3;O3
12158,TG 58:11
12161,HexCer 54:4;O2
12163,TG 55:3;O3
12171,TG 60:6;O
12204,TG 51:0;O3
12228,TG 54:7
12256,TG 48:4
12287,TG 49:4
12322,CE 18:3;O
12342,TG 53:1;O3
12365,TG 64:10
12378,Cer 52:2;O3
12394,TG O-58:0
12395,TG 60:12
12397,PC 48:2;O
12399,TG 59:1;O3
12412,DG 55:8
12415,TG 57:4;O3
12458,Cer 48:6;O
12474,DG 52:6
12515,Cer 46:6;O3
12520,TG 51:3;O
12522,CerP 53:5;O2
12525,TG 56:3;O
12562,TG 60:7
12567,TG 43:0
12575,DG 54:7
12594,TG 62:8
12610,TG 58:10
12611,TG 53:1;O3
12617,TG 61:2;O3
12631,TG 52:6
12639,TG 55:2;O3
12643,TG 65:11
12644,TG 60:2;O3
12645,TG 66:11
12647,TG 92:2;O2
12657,TG 52:5
12662,TG 55:8;O2
12694,Cer 45:4;O4
12697,DG 56:8
12721,DG 58:9
12724,CerP 52:0;O5
12741,HexCer 45:1;O5
12759,TG 54:6
12788,TG 63:9
12789,TG 58:0;O3
12792,TG 59:0;O3
12806,TG 50:4
12816,TG 56:5;O3
12827,TG 49:0
12838,DG 48:3
12840,DG 50:4
12867,TG 48:2
12876,CE 16:3
12879,DG 52:5
12887,TG 55:7
12893,CE 16:3
12904,DG 58:9
12906,TG 56:7
12910,TG 60:6
12919,DG 54:6
12937,TG 62:7
12953,TG 45:0
12965,SM 47:6;O3
12974,TG 57:2;O3
12981,TG 62:11
12998,HexCer 48:0;O3
13003,PS 45:0
13007,DG 62:7
13008,TG 63:13;O2
13022,PA 50:4
13024,DG 61:7
13032,CE 12:0
13034,TG O-39:0
13040,CE 26:5
13042,DG 51:4
13050,DG 58:8
13057,DG 63:8
13071,CE 14:1
13090,TG 60:10
13099,DG 43:5
13121,DG 62:11
13132,TG 56:7
13138,TG 63:8
13140,TG 64:8
13146,TG 49:2
13151,TG 54:5
13152,HexCer 45:0;O5
13156,HexCer 49:3;O5
13157,TG 57:8;O2
13169,DG 57:7
13177,PE-Cer 37:1;O3
13185,CE 26:6
13186,TG O-45:1
13191,HexCer 47:1;O5
13194,TG 62:10
13208,TG O-41:1
13227,TG 95:11;O2
13235,DG 50:3
13238,TG O-49:4
13240,DG 52:4
13244,DG 52:2
13247,DG 55:3
13251,DG 57:4
13255,DG 58:4
13259,TG 55:5
13261,DG 60:9
13264,TG 59:5
13266,TG 60:5
13267,TG 61:6
13271,TG 62:6
13277,TG 86:8;O
13278,TG 91:8;O2
13307,TG 63:7
13312,TG 93:9;O2
13315,TG 95:8
13325,CE 22:3
13335,DG 58:5
13337,DG 59:5
13340,DG 60:5
13342,SM 53:4;O4
13346,TG 81:12;O
13350,TG 61:11;O2
13366,TG 63:12;O2
13368,TG 64:12;O2
13381,TG 56:3
13382,DG 60:6
13383,PS O-45:0;O
13386,DG 61:6
13391,DG 62:6
13399,TG 65:13;O2
13419,ACer 58:2;O2
13425,DG 58:7
13430,DG 63:7
13441,PA 50:3
13442,HexCer 46:3;O4
13451,TG 84:6;O
13460,TG 38:7;O
13495,CE 22:3
13501,CE 26:4
13505,DG 53:4
13510,TG 54:1
13520,TG 56:2
13537,DG 42:4
13539,DG 43:4
13540,DG 46:11;O2
13544,TG 49:1
13547,DG 55:5
13552,PA 52:4
13569,PE dO-40:0
13573,TG 60:8
13577,TG 85:11;O3
13584,TG 51:2
13588,DG 57:6
13604,TG 53:3
13613,TG 61:5
13619,TG 63:6
13621,TG 80:3;O
13641,CE 20:1
13647,TG 55:4
13650,DG 62:9
13655,DG 67:9
13662,TG 76:0;O
